IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.111.175,2083,true,SIN,Asia Pacific,Singapore,226 ms,8085 kB/s
8.222.160.176,2083,true,HKG,Asia Pacific,Hong Kong,262 ms,8082 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,225 ms,8059 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,232 ms,8048 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,223 ms,8030 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,225 ms,8016 kB/s
8.219.209.14,8443,true,HKG,Asia Pacific,Hong Kong,255 ms,8008 kB/s
8.222.180.86,2053,true,SIN,Asia Pacific,Singapore,239 ms,7998 kB/s
8.222.168.24,2053,true,SIN,Asia Pacific,Singapore,236 ms,7994 kB/s
8.222.147.203,2053,true,HKG,Asia Pacific,Hong Kong,261 ms,7985 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,232 ms,7930 kB/s
8.219.142.191,2053,true,SIN,Asia Pacific,Singapore,228 ms,7900 kB/s
210.205.185.215,10530,true,KIX,Asia Pacific,Osaka,130 ms,7865 kB/s
185.194.148.131,41706,true,LAX,North America,Los Angeles,192 ms,7838 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,235 ms,7831 kB/s
47.236.147.146,2087,true,SIN,Asia Pacific,Singapore,223 ms,7799 kB/s
8.222.229.102,2087,true,SIN,Asia Pacific,Singapore,239 ms,7743 kB/s
47.236.96.141,2053,true,SIN,Asia Pacific,Singapore,260 ms,7739 kB/s
47.76.33.40,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,7702 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,231 ms,7679 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,226 ms,7662 kB/s
8.222.144.50,2053,true,SIN,Asia Pacific,Singapore,243 ms,7637 kB/s
8.222.211.124,2096,true,HKG,Asia Pacific,Hong Kong,267 ms,7632 kB/s
112.168.91.60,18888,true,FUK,Asia Pacific,Fukuoka,79 ms,7599 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,229 ms,7597 kB/s
129.154.222.116,20010,true,ICN,Asia Pacific,Seoul,80 ms,7575 kB/s
47.236.87.206,2096,true,SIN,Asia Pacific,Singapore,233 ms,7527 kB/s
168.100.6.26,443,true,SJC,North America,San Jose,171 ms,7445 kB/s
